"","row","column","cor","p"
"1","id","timestamp",0.979059099296325,0
"6","full_sq","life_sq",0.766034660234518,0
"18","full_sq","num_room",0.865207907402859,0
"64","raion_popul","children_preschool",0.94322760400698,0
"75","raion_popul","preschool_quota",0.917807442746368,0
"78","children_preschool","preschool_quota",0.931281630505379,0
"87","raion_popul","children_school",0.955898516680788,0
"90","children_preschool","children_school",0.985823324658294,0
"91","preschool_quota","children_school",0.936950290765492,0
"145","raion_popul","shopping_centers_raion",0.762141637014693,0
"240","raion_popul","X0_6_all",0.94322760400698,0
"243","children_preschool","X0_6_all",1,0
"244","preschool_quota","X0_6_all",0.931281630505379,0
"245","children_school","X0_6_all",0.985823324658294,0
"262","raion_popul","X7_14_all",0.955898516680788,0
"265","children_preschool","X7_14_all",0.985823324658294,0
"266","preschool_quota","X7_14_all",0.936950290765492,0
"267","children_school","X7_14_all",1,0
"276","X0_6_all","X7_14_all",0.985823324658294,0
"285","raion_popul","X0_17_all",0.9534544092184,0
"288","children_preschool","X0_17_all",0.995790690865447,0
"289","preschool_quota","X0_17_all",0.936572043468166,0
"290","children_school","X0_17_all",0.996642142672466,0
"299","X0_6_all","X0_17_all",0.995790690865447,0
"300","X7_14_all","X0_17_all",0.996642142672466,0
"322","full_all","X16_29_all",0.999578432228051,0
"334","raion_popul","X0_13_all",0.952533635906,0
"337","children_preschool","X0_13_all",0.996604800428965,0
"338","preschool_quota","X0_13_all",0.936850315688589,0
"339","children_school","X0_13_all",0.996202810643123,0
"348","X0_6_all","X0_13_all",0.996604800428965,0
"349","X7_14_all","X0_13_all",0.996202810643123,0
"350","X0_17_all","X0_13_all",0.999561825535021,0
"494","build_count_wood","build_count_before_1920",0.772713905815602,0
"525","build_count_wood","build_count_1921.1945",0.99423875782106,0
"528","build_count_before_1920","build_count_1921.1945",0.761552281972497,0
"556","build_count_block","build_count_1946.1970",0.846634448305927,0
"559","build_count_brick","build_count_1946.1970",0.768764426662086,0
"570","raion_popul","build_count_1971.1995",0.805877668825625,0
"628","build_count_1921.1945","build_count_after_1995",0.752146251603632,0
"703","metro_min_avto","metro_km_avto",0.982755798538007,0
"740","metro_min_avto","metro_min_walk",0.973607948748797,0
"741","metro_km_avto","metro_min_walk",0.992943413371295,0
"778","metro_min_avto","metro_km_walk",0.973607948758939,0
"779","metro_km_avto","metro_km_walk",0.992943413375857,0
"780","metro_min_walk","metro_km_walk",1.00000000000001,NA
"857","metro_min_avto","park_km",0.925349883677255,0
"858","metro_km_avto","park_km",0.948908774671672,0
"859","metro_min_walk","park_km",0.949196360383635,0
"860","metro_km_walk","park_km",0.949196360388843,0
"1035","railroad_station_walk_km","railroad_station_walk_min",1.00000000000002,NA
"1126","railroad_station_walk_km","railroad_station_avto_km",0.956767497360037,0
"1127","railroad_station_walk_min","railroad_station_avto_km",0.956767497353512,0
"1173","railroad_station_walk_km","railroad_station_avto_min",0.909795016561336,0
"1174","railroad_station_walk_min","railroad_station_avto_min",0.909795016552849,0
"1176","railroad_station_avto_km","railroad_station_avto_min",0.965474946202946,0
"1275","public_transport_station_km","public_transport_station_min_walk",0.999999999999998,0
"1312","metro_min_avto","kremlin_km",0.819603732593209,0
"1313","metro_km_avto","kremlin_km",0.815623536227116,0
"1314","metro_min_walk","kremlin_km",0.80795584332902,0
"1315","metro_km_walk","kremlin_km",0.807955843332698,0
"1317","park_km","kremlin_km",0.78485551326784,0
"1472","school_km","railroad_km",0.761063167439666,0
"1476","railroad_station_walk_km","railroad_km",0.929948391826931,0
"1477","railroad_station_walk_min","railroad_km",0.929948391834059,0
"1479","railroad_station_avto_km","railroad_km",0.901235749474174,0
"1480","railroad_station_avto_min","railroad_km",0.853328966430508,0
"1522","metro_min_avto","bus_terminal_avto_km",0.793404164928157,0
"1523","metro_km_avto","bus_terminal_avto_km",0.808284518215144,0
"1524","metro_min_walk","bus_terminal_avto_km",0.803672582698349,0
"1525","metro_km_walk","bus_terminal_avto_km",0.803672582698663,0
"1527","park_km","bus_terminal_avto_km",0.769241321446253,0
"1752","school_km","swim_pool_km",0.904779114722744,0
"1867","metro_min_avto","stadium_km",0.803991440640328,0
"1868","metro_km_avto","stadium_km",0.795370526087749,0
"1869","metro_min_walk","stadium_km",0.786859849199111,0
"1870","metro_km_walk","stadium_km",0.78685984920086,0
"1872","park_km","stadium_km",0.756417782717618,0
"1882","kremlin_km","stadium_km",0.88870002358011,0
"1928","metro_min_avto","basketball_km",0.862615377760108,0
"1929","metro_km_avto","basketball_km",0.876266356503683,0
"1930","metro_min_walk","basketball_km",0.869873361764517,0
"1931","metro_km_walk","basketball_km",0.869873361764139,0
"1933","park_km","basketball_km",0.851900010539948,0
"1943","kremlin_km","basketball_km",0.909438367324362,0
"1953","stadium_km","basketball_km",0.859990830916534,0
"1994","school_km","public_healthcare_km",0.88937883483237,0
"2013","swim_pool_km","public_healthcare_km",0.79953693704587,0
"2016","basketball_km","public_healthcare_km",0.751040065962234,0
"2077","ice_rink_km","university_km",0.789645589997598,0
"2121","school_km","workplaces_km",0.902881342977928,0
"2140","swim_pool_km","workplaces_km",0.810226805291078,0
"2143","basketball_km","workplaces_km",0.817943912087288,0
"2144","public_healthcare_km","workplaces_km",0.837729248839924,0
"2145","university_km","workplaces_km",0.783768989129959,0
"2186","school_km","shopping_centers_km",0.857441700334955,0
"2200","railroad_km","shopping_centers_km",0.752736064953437,0
"2205","swim_pool_km","shopping_centers_km",0.830442417024074,0
"2209","public_healthcare_km","shopping_centers_km",0.801966452718443,0
"2278","shopping_centers_km","office_km",0.842935579387479,0
"2319","school_km","big_church_km",0.905353052553545,0
"2327","railroad_station_avto_min","big_church_km",0.75245578402491,0
"2338","swim_pool_km","big_church_km",0.824552438264205,0
"2341","basketball_km","big_church_km",0.797809818163722,0
"2342","public_healthcare_km","big_church_km",0.865337675030567,0
"2344","workplaces_km","big_church_km",0.846776609313604,0
"2345","shopping_centers_km","big_church_km",0.838967945486905,0
